岗位名称,区位,薪资,工作年限,学历,关键词1,关键词2,关键词3,公司名,企业类别,企业规模,岗位要求,更新时间,来源
数据挖掘工程师,北京-西城,20k-30k·13薪,3-5年,本科,数学/统计相关专业,银行,反欺诈,北银金科,互联网,500-999人,"岗位职责：
1.擅长复杂数据的分析挖掘和建模，搭建大数据风控、信贷准入等业务主体的指标设计和模型开发；
2.针对金融欺诈、信贷准入等场景，运用统计学方法，将业务问题抽象成数据挖掘问题，解决实际业务痛点；
3.通过对可疑交易的流水分析，深入挖掘样本的潜在特点，抽象出更有价值的场景特性；
4.深度分析大量数据，发现业务趋势、模式和洞察，尤其在反欺诈方面提供有价值的见解；
5.参与银行反欺诈相关的数据开发工作，熟悉反欺诈策略和模型；
6.熟悉银行业务知识，深入了解核心业务、信贷业务相关数据的构成。
岗位要求：
1.本科或以上学历优先考虑，计算机科学、数据科学、统计学或相关领域优先；
2.熟悉常用机器学习及算法原理，掌握数据处理技术，如Python、Hive、Spark等；
3.拥有3年以上数据建模和统计分析经验，熟悉常用数据分析工具和库；
4.金融工作背景优先，对数据敏感，有较强的分析能力；
5.具备解决问题和独立工作的能力，优秀的沟通能力和团队合作精神。",2023-12-09,boss直聘
数据挖掘算法专家,北京,50k-80k·16薪,5-10年,本科,C/C++,大数据处理经验,数据挖掘,某大型互联网上市集团公司,互联网金融,10000人以上,"岗位描述
1.面向信息365行业务，构建算法盘货选货基础能力，支持会场、搜索、推荐、广告等多路用户触达途径，在货品链路上的优化
2.运用机器学习，构建人地图谱、人地时空核心能力，并推动业务落地
岗位要求
1.熟练掌握常用的机器学习、深度学习算法、数据挖掘，具备良好的算法选型能力和产品落地经验;
2.热情于推动业务发展、为用户创造价值，具有良好数据分析、数据可视化能力;有LBS，geo数据处理经验优先
3.具有优秀的分析问题和解决问题的能力，对解决挑战性问题充满激情，具有良好的沟通能力，重视团队合作",2023-12-08,boss直聘
数据挖掘算法专家,北京,40k-70k·14薪,5-10年,本科,自然语言处理经验,机器学习经验,大数据处理经验,某500强上市公司,互联网,1000-9999人,"工作职责
1、负责轨迹大数据的的相关应用落地；
2、应用数据挖掘、机器学习等技术，对海量位置数据进行ETL开发、智能化处理、数据挖掘、建模，提取有价值的信息；
3、应用机器学习技术，构建数据挖掘模型，服务于智能交通产品化。
任职资格
1、机器学习/计算机/数学相关方向硕士以上学历；
2、熟悉C/C++语言、Python、Java任意一种语言，较强的算法和数据结构功底；
3、熟悉数据挖掘、机器学习等技术；
4、良好的逻辑思维能力，优秀的分析、解决问题的能力，良好的沟通能力和团队合作精神。",2023-12-06,boss直聘
数据挖掘工程师,北京-西城,18k-35k·15薪,3-5年,本科,Spark,,,英大金财,互联网,100-499人,"岗位职责：
1、对商旅海量业务数据进行分析，并利用算法挖掘用户行为特征，发现潜在规律，建立机器学习算法并优化；
2、负责分析挖掘国商旅客户/行业对大数据产品的需求（应用场景），利用数据分析结论提升客户业务能力。例如：文本挖掘，潜在客户挖掘，用户画像，个性化推荐，用能预测等
3、进行大数据场景下的数据统计、数据挖掘、机器学习、深度学习，包括数据整理、模型建立、模型应用、评估优化等；
4、将客户需求准确转化为可执行的数学模型，针对不同的应用场景，负责编写数据挖掘算法及对其的优化；
5、基于需求分析/运营支持/商业报告等成果，抽取典型用户/客户/行业/产品分析模型并与开发团队沟通实施方案及构建产品原型；
6、建立各种业务逻辑模型和数学模型帮助公司改善运营管理，节省成本。
任职要求;
1、本科以上学历，扎实的机器学习、数据挖掘、统计学理论基础；有统计、应用数学、金融等相关专业背景优先；
2、精通常见机器学习算法（如逻辑回归、SVM、神经网络、决策树、贝叶斯等），有实际建模经验，掌握深度学习算法优先；
3、具有扎实的计算机操作系统、数据结构等编程基础，精通至少一门编程语言例如JAVA/Python/R等；
4、熟悉Map-Reduce模型，对Hadoop、Spark、Storm等大规模数据存储与运算平台有实践经验优先。",2023-11-10,boss直聘
数据挖掘,北京-海淀,20k-30k,5-10年,本科,研究导向,风控/反欺诈,Java,百分点集团,计算机服务,500-999人,"数据挖掘算法工程师
【岗位职责】
1. 阅读各类论文及专利，结合业务实践及场景，论证可行性，提出最佳的技术路径
2. 根据产品经理的用户场景，分析业务数据，制定和实施数据挖掘方案
3. 分析用户典型业务场景，制定合理的数据生成和采集方案，并基于采集的数据进行模型开发
【岗位要求】
1. 本科及以上学历 ，应用数学、统计学、计算机等相关专业
2. 具有较强的统计学、人工智能和数据挖掘知识基础，精通特征工程
3. 能够熟练阅读英文的专利、论文等，结合行业先进技术及理念进行前沿研究及利用
4. 有强烈的上进心和求知欲，创新能力强，善于学习新事物，能够独立承担技术路线的选型和技术难点的攻关
5. 了解计算机通信原理，有DPI经验优先",2023-12-01,boss直聘
数据挖掘工程师,北京-海淀,20k-30k·15薪,3-5年,硕士,Python,数据挖掘,hadoop,中科天玑,移动互联网,100-499人,"职位描述：
1.负责文本类，图谱型数据挖掘工作
2.利用大数据手段来推进产品迭代
3.相关数据挖掘系统和工具平台的设计、开发
4.通过对数据的敏锐洞察，使用数据挖掘相关技术，深入挖掘产品潜在价值和需求
职位要求:
-具有计算机，通信，电子，自动化相关领域专业硕士及以上学历
-有扎实的计算机相关基础，熟练使用 Linux 下的 Python 编程
-熟练使用 numpy、pandas 等基础数据处理库
-熟练进行数据挖掘、机器学习算法开发，熟悉常用特征工程挖掘、计算方法
-熟悉容器技术、分布式计算（Hadoop）、数据库（MySQL、MongoDB）、日志分析（ELK）",2023-12-08,boss直聘
数据挖掘工程师,北京,30k-60k·16薪,3-5年,硕士,计算机相关专业,数学/统计相关专业,机器学习经验,某大型计算机软件公司,计算机软件,100-499人,"岗位职责：
1.负责基于关系图谱的数据挖掘和研发工作。
2.应用常用的机器学习技术，对用户、设备等元素进行风险建模。
3.关注安全技术方向，持续对抗黑产行为，及时迭代策略。
4.识别各类机器行为、羊毛党、引流、广告等欺诈模式和风控场景。
5.识别平台的违规内容，进行持续对抗。
岗位要求：
1.熟悉常用的机器学习算法，LR、XGBOOST、RF等有监督学习算法；常用的无监督算法，聚类DBSCAN、谱聚类、层次聚类等。
2.熟悉常用的文本挖掘算法，如文本分类、命名实体识别相关算法。
3.扎实的编程基础，熟悉python、spark、hive、shell、java等一项或多项计算语言。
4.对反欺诈数据敏感，具备快速业务场景抽象能力，并能及时应用在实际项目中。
5.责任心强，有良好的学习能力及团队合作精神，自我驱动能力强。",2023-12-08,boss直聘
数据挖掘工程师,北京-海淀,35k-55k·15薪,5-10年,本科,数据挖掘,用户画像,推荐,易车,互联网,1000-9999人,"资深数据挖掘专家
1、负责用户画像标签体系建设
2、负责用户画像智能化应用开发
3、负责画像团队人员建设工作
4：参与增长实验的落地运营
任职资格:
1、本科及以上学历，计算机、数学等相关专业，985，211 院校毕业生优先考虑
2、有丰富的用户画像和nlp相关经验者优先
3：对常用的机器学习算法，特征选择方法，数据建模过程有深入理解，并具备相关项目经验
4：有快速学习能力及创新精神，做事仔细认真，善于团队合作；
5：有团队管理经验尤佳",2023-11-10,boss直聘
数据挖掘建模工程师,北京-朝阳,15k-30k,3-5年,本科,SQL,,,海岸融信,计算机软件,500-999人,"岗位职责:
1、根据业务需求，分析、适配、研发并优化相应算法。
2、封装算法、模型用干应用开发，并提供AP|接口 文档。
3、调研新技术及前沿科技，以技术驱动产品。
4、分析业务需求，整理出算法模型的输入及输出。
5、与研发团队的前后端软件工程师配合，将针对特定应用场景的算法模型集成到软件系统中，形成产品。
6、紧跟算法相关技术前沿，构建适应公司需求的算法库，参与规划公司技术方向。
任职要求:
学历水平:本科及以上学历，计算机、数学、统计或相关专业
工作经验:2年以上数据算法、人工智能等领域的相关工作经验
经验要求:
1、 对机器学习、数据挖掘算法及其在金融行业的应用，有比较深入的认识和理解;
2、 熟悉java或者python等开发语言，熟悉Linux开发环境，有扎实良好的编程基础;
3、 熟悉机器学习相关算法，如：KNN、线性回归、朴素贝叶斯、决策树、逻辑斯蒂回归、Kmeans聚类、SVM、随机森林、GBDT等，熟练使用机器学习sklearn库。
4、 熟悉特征工程常用的相关处理方法，如：特征重要性评估选择(皮尔森系数评估、线性评估、GBDT)、无量纲处理(StandardScaler、MinMaxScaler)、编码处理(OneHotEncoder，LabelEncoder)、样本均衡处理(过采样、欠采样)、离散值分箱技术(cut)、文本处理(TfidfVectorizer,CountVectorizer)等等。
5、 有并行计算、海量数据处理经验、熟悉hadoop、spark生态系统组件使用者优先; 5、能将算法封装成独立模块并提供API，有低代码平台开发经验者优先。
6、 熟悉MySQL数据库，熟悉SQL语句优化。熟练使用MySQL数据库多表联合查询、事务、分组、聚合等操作。
7、 了解Redis非关系型数据库，了解大数据基本组件
8、 拥有突出的数据分析和归纳能力，具备出色的需 求分析和快速学习能力，能在复杂业务场景中发现和 解决问题的能力;
9、 良好的逻辑思维能力、沟通能力、团队意识，有自我驱动意识，细心，有责任感，使命感。",2023-12-10,boss直聘
机器学习开发工程师-数据挖掘,北京,25k-50k·16薪,5-10年,本科,Java,Python,go,某大型互联网公司,互联网,500-999人,"面试轮次：3轮业务面试
工作职责：
1、负责搭建可视化、流程化和配置化Pipeline的高效数据挖掘平台；
2、支撑算法团队一站式完成数据预处理、数据探查、模型训练和部署；
3、建设分布式机器学习平台，支持多并发、并行训练。
任职条件：
1、计算机相关专业，985、211本科以上学历优先，3~5年扎实的python/java/go开发经验；
2、使用过sparkML、flinkML，有kubeflow二次开发经验优先；
3、了解特征工程，有过机器学习或者数据挖掘工程经验更佳；
4、工作积极，具备较强的逻辑推理能力、团队协作能力、沟通能力",2023-12-10,boss直聘
