岗位名称,区位,薪资,工作年限,学历,关键词,公司名,企业类别,企业规模,岗位要求,更新时间
数据挖掘,北京,30-50K·15薪,1-3年,本科,"Python
Spark",某互联网公司,互联网,20-99人,"岗位职责：
1.负责公司机器学习的大规模数据处理；
岗位要求：
1.在推荐系统、搜索、或者广告排序等项目的等开发经验并在项目中承担重要角色；
2.熟练使用Python;
3.熟练使用Spark，使用过tensorflow或者pytorch的一种；
4.熟悉分布式系统，能够设计大规模离线分布式系统，对大规模存储有经验；
5.熟悉NLP或者CV，有过实际训练NLP和CV模型并上线的经验；
6.良好的思维能力、独立思考和解决问题的能力，良好的沟通能力；
加分项：Golang，Ray，Docker，K8S",更新于：2024-01-27
数据挖掘,北京·海淀区·五道口,75-80K,5-10年,本科,"数据挖掘
网络爬虫技术
Spark
大数据
商业智能
Python
数据分析
R语言",畅玩互娱,音乐/视频/阅读,0-20人,"CTO 技术牛人
高效配合CEO的技术要求 、技术落地.
有技术追求、也要脚踏实地.",更新于：2024-01-26
数据挖掘专家,北京,55-85K,1-3年,本科,"Java
Python
Hive
计算机相关专业",某500强上市公司,互联网,,"岗位描述
1.分布式数据设计开发，支持品效业务的精准投放
2营销数据体系设计贴合品效业务落地通用的营销分析框架
3.DMP定制定向与服务框架的规模化支撑
岗位要求
""1.熟悉Hadoop(MapReduce，Hive)，Storm或其他分布式数据开发技术，有源码研究经验者优先
2.精通JAVA或Python，有并发应用或者分布式应用软件开发经验优
3.熟悉常用机器学习数据挖掘算法的原理与应用，要求有相关算法/推荐项目的落地经验
4.能够练进行离线/实时场景的数据整台与应用开发工作
5.有良好的技术方案规划和沟通管理能大
6.热爱数据，积极主动，有好奇心，两年以上互联网环境的大数据经验
7.有推荐系统，计算广告，用户行为分析，大数据处理方面经验者优先考虑",更新于：2024-01-27
算法工程师-数据挖掘方向（智能评测）,北京·海淀区·五道口,25-40K·16薪,1-3年,本科,"计算机相关专业
数学/统计相关专业",百川智能,计算机软件,,"职位描述：
1. 负责优化基于LLM的自动化评测模型评测系统，含评测方案设计、Prompt工程、打分模型训练、系统实现等；
2. 独立完成实验，科学评估评测系统误差，并进行优化；
3. 根据评测经验，提出模型改进方案，完成闭环验证（独立对齐训练）；
4. 跟踪最新的人工智能研究，并应用相关知识。
职位要求：
1. 对生成式语言大模型和AGI有热情，热爱挑战，喜欢进行未知领域的探索；
2. 硕士及以上学历，有1年以上算法工作经验，或有相关研究经历的应届生；
3. 算法理论扎实；代码能力强；能够用Prompt工程解决实际问题；
4. 具有良好的逻辑思维和语言表达能力，能够处理跨团队的沟通协作问，能够应对工作压力和新事物的不确定性。",更新于：2024-01-26
[阿里团队] 数据挖掘建模工程师,北京·西城区·黄寺,25-50K·16薪,经验不限,本科,"SQL
Python
计算机相关专业
金融行业数据相关经验
风控相关经验
反欺诈
数据挖掘
机器学习",蓝象科技,互联网,100-499人,"## 岗位职责
1. 负责提供金融业务场景（银行、保险等）的营销/风控模型的开发、验证、部署服务，包括不局限于反欺诈、反电诈、响应率、ABC卡、多头、收入/负债等模型；
2. 面向金融客户提供场景化的建模方案设计，营销、风控、反洗钱等场景中提供模型咨询，并辅助设计营销/风控策略，包括准入、额度、投放等策略建议；
3. 在提供建模咨询服务的过程中，提供整体服务的进度把控，尤其是在数据源侧完成特征数据的准备和保障。
## 任职要求
1. 数学、统计、金融工程、计算机等相关专业，全日制本科及以上学历；
2. 2年以上金融行业营销/风控模型开发和落地实践经验，熟练掌握常用建模方法论：OOT/OOS分析、点估计、swap策略分析、迁移估计、稳定性分析等；
3. 熟悉机器学习算法，如逻辑回归、决策树、神经网络、随机森林等，熟练使用Python/SAS/R等工具进行数据分析和模型开发落地；
4. 较强的数据分析能力、沟通表达能力、团队协同能力。",更新于：2024-01-05
数据挖掘工程师,北京·朝阳区·酒仙桥,20-30K·14薪,1-3年,本科,大数据处理经验,Moatable,互联网,500-999人,"岗位职责：
-支持全美TOP的卡车导航app （Trucker Path https://truckerpath.com/)
-负责地点、道路、轨迹和用户行为等数据的收集、处理、分析、挖掘等工作
结合具体业务场景，进行数据分析、挖掘和建模等，设计并优化解决方案
任职要求：
-有良好的编程与算法能力，至少熟练掌握一门编程语言
-熟练使用numpy、pandas、sk-learn、matplotlib等数据挖掘分析工具，熟悉常用大数据工具
-熟悉大规模数据挖掘、机器学习、自然语言处理、分布式计算等相关技术优先
-较强的逻辑思维和业务理解能力，具备沟通协作和团队意识
-具备一定的英语读写能力，口语好优先",更新于：2024-01-23
数据挖掘-用户发展-北京,北京·朝阳区·望京,30-60K·16薪,3-5年,本科,数据挖掘,阿里巴巴智能信息事业群,互联网,1000-9999人,"1、基于公司内海量数据，建设跨多业务的用户画像体系，预测生产画像标签，提升多场景的用户画像覆盖；
2、端内业务数据的挖掘与归因，与外部投放和承接联动，有效提升投放和承接效率；
3、深入理解用增业务场景，利用画像数据和相关算法，推动画像数据及相关算法的技术演进；
4、持续优化数据挖掘相关算法，提升画像数据的精准和覆盖；
职位要求
1、3年及以上数据工程、或数据挖掘相关经验，具有大规模用户产品中的画像标签生产、数据服务的研发经验；
2、扎实的计算机基础，对数据挖掘算法、机器学习、深度学习有理解和应用经验；
3、对内容推荐、用增、广告等业务有深入理解，在该领域内具备画像、人群相关的问题解决、方案设计的能力；
4、对业务和技术有热情，保持好奇持续学习，推动业务问题的突破和技术能力的进步；",更新于：2024-01-26
数据挖掘工程师,北京·海淀区·魏公村,12-18K,1-3年,本科,"SQL
Python
机器学习/NLP经验
数学/统计相关专业
大数据处理经验
机器学习算法
自然语言处理",华职教育科技集团,培训/辅导机构,,"NLP 自然语言处理
招聘人数：1
入职部门：产教融合研究院-技术研发中心
学历要求：本科及以上
薪资范围：12000-18000
支撑项目：现有项目：现有大数据平台的算法优化
未来计划：未来大数据平台的功能扩展
教育背景：本科以上学历，统计学或计算机相关专业。
工作职责：
1、根据业务和项目要求，进行数据处理。
2、根据业务模型，建立数据挖掘和分析模型以及相应算法设计实现。
任职要求：
1、熟练掌握python语言，及常用数据处理、挖掘和分析包。
2、统计学基础知识扎实。
3、熟练掌握SQL语言、MySQL数据库。
4、掌握常用机器学习模型及相关算法，如回归、随机森林、KNN、Kmean、神经网络、贝叶斯等。
5、有自然语言处理基础和经验，有使用Gensim经验，了解TensorFlow框架。
6、有较好的学习能力、团队合作能力，对技术工作有浓厚兴趣，对工作认真负责，能承受工作压力。
7、两年以上数据挖掘和数据分析经验。",更新于：2024-01-24
数据挖掘,北京·海淀区·皂君庙,18-35K,经验不限,学历不限,"数学/统计相关专业
计算机相关专业
用户画像/标签体系相关经验",字节跳动,互联网,10000人以上,"1、基于对用户和产品的理解和海量数据，参与产品、运营、研发等多种场景的数据分析、实验设计和效果改进和数据建模等；
2、研究数据挖掘或统计学习领域的前沿技术，针对海量用户行为和内容信息，挖掘更有价值的高阶数据；
3、主动发起并推动忠于用户价值或产品体验的数据分析项目或算法策略落地。",更新于：2024-01-18
机器学习/数据挖掘/NLP/视觉算法工程师,北京·海淀区·西北旺,20-40K,1-3年,本科,"搜索/推荐
Python
C/C++",百度,互联网,10000人以上,"【百度-搜索策略部】
欢迎信息检索、自然语言处理、机器学习、深度学习等相关研究领域的有意向者联系。团队主要负责百度视频搜索体验优化，方向不限于：基于大规模深度学习技术优化语义召回、语义匹配、用户行为建模等。
工作职责:
1.负责视频搜索排序模型及策略优化:包括但不限于异构混排、多目标、CTR&时长预估等模型及策略优化工作
2.负责视频质量识别及模型优化:包括但不限于大规模预训练，视频音频多模态联合建模，视频新热优质识别
岗位要求:
1.具有以下一个或多个领域的理论背景和实践经验:机器学习/数据挖掘/深度学习/自然语言处理/图像识别，有大型搜索引擎、广告系统、推荐系统建设经验优先
2.具有出色的编码能力，良好的编程习惯，数据结构和算法基础扎实，至少熟练掌握Java/C++/Python中的一种
3对数据敏感，具有优秀的逻辑思维能力，善于分析问题，解决问题；有良好的沟通能力，跨团队协作能力。",更新于：2024-01-19
数据挖掘,北京·顺义区·后沙峪,9-14K,经验不限,博士,"R
机器学习经验",宝枫生物科技,医疗健康,20-99人,"1. 生物学博士。进站博士后，保证出站。
2. 或者有临床数据挖掘的工作经验
3. 熟悉使用R或者其他分析工具。
4. 大生物学背景。性格开朗，再学习能力强。",更新于：2024-01-27
